stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Jl. Pulo Empang,,Jl. Pulo Empang,,-6.607440000,106.793460000,,,,,,2
Gedung Serbaguna Chaerul Ummah,,Gedung Serbaguna Chaerul Ummah,,-6.612860000,106.795090000,,,,,,2
Jl. Krupuk,,Jl. Krupuk,,-6.610560000,106.794780000,,,,,,2
Kantor Camat Bogor Selatan,,Kantor Camat Bogor Selatan,,-6.612870000,106.797950000,,,,,,2
Jl. Darul Quran,,Jl. Darul Quran,,-6.584580000,106.771850000,,,,,,2
Puskesmas,,Puskesmas,,-6.578410000,106.762780000,,,,,,2
SDN Sindangbarang 1,,SDN Sindangbarang 1,,-6.576910000,106.762330000,,,,,,2
Musholla Nurul Iman,,Musholla Nurul Iman,,-6.575210000,106.761750000,,,,,,2
Al-Hasbi,,Al-Hasbi,,-6.572410000,106.758950000,,,,,,2
Griya Melati,,Griya Melati,,-6.567190000,106.753120000,,,,,,2
Gg. Sumur 7,,Gg. Sumur 7,,-6.564440000,106.751170000,,,,,,2
Rumah Makan Putri Minang,,Rumah Makan Putri Minang,,-6.559610000,106.749240000,,,,,,2
Jl. Sindang Barang Jero,,Jl. Sindang Barang Jero,,-6.556830000,106.750430000,,,,,,2
SMPN 14 Bogor,,SMPN 14 Bogor,,-6.555420000,106.747530000,,,,,,2
Masjid Al-Ikhlas,,Masjid Al-Ikhlas,,-6.554460000,106.745120000,,,,,,2
Kantor Lurah Situ Gede,,Kantor Lurah Situ Gede,,-6.551990000,106.745480000,,,,,,2
